Parent Total Headroom (Sum),T90 % of Rx Groups Touched (Parent),T90 % of Locations Touched (Child),Parent Account Name,Parent EC Headroom,Quote Primary Contact Phone (Parent),Last Sales Activity Date,# Calls T60 (Parent),Last C/W Date,Account Prospecting Notes Rollup,Has CSM Activity in Last 15 Days? (inclu today),Quote Primary Contact ID for SFDC Report (Parent),Parent Total Headroom,Quote Primary Contact Email (Parent),Finance Contact Email (Parent),# Connects T60 (Parent),Last Sales Connect Date,# of Activities T60 (Parent)
,,,Retrograde Coffee Parent,0,6154149626,03/05/2026,0,03/20/2026,,,"003PV00000EqL59YAF,",86412,nathan@mwrealestateco.com,nathan@mwrealestateco.com,0,01/23/2026,0
,,,Siège Hospitality,13776,+16152387490,04/07/2026,1,04/07/2026,,false,"003C000001xwcvTIAQ,",108276,andrew@siegehospitality.com,andrew@siegehospitality.com,0,05/06/2025,3
,,,Steam Boys - Parent,19039.999776,+16154760326,04/20/2026,0,04/10/2026,,false,"0034W000036MLGGQA4,",147679.99977599998,dynastylin89@gmail.com,dynastylin89@gmail.com,0,02/18/2026,0
,,,Tandem Hospitality Group,12684,+16066150021,04/16/2026,0,04/09/2026,,,"003PV00000AgsRFYAZ,",181296,bret@tandemhospitalitygroup.com,hhouk@originhotelwestminster.com,0,03/31/2026,2
,,,The Cupcake Collection,3388.000056,16159759118,03/05/2026,0,04/25/2025,,,"0034W000036MOxJQAW,",75088.000056,dillon.francois@thecupcakecollection.com,dillon.francois@thecupcakecollection.com,0,11/18/2022,4
,,,Toots Restaurants - Parent,0,(615) 893-2772,04/21/2026,0,04/23/2026,,false,"003C0000023RBPvIAO,",70680,famhaysllc@comcast.net,office@toots.com,0,08/19/2025,0
,,,Tres Amigos Group,5404.000056,+18594757131,02/20/2026,0,12/09/2025,,,",",43564.000056000004,anthonysanchez37@icloud.com.invalid,anthonysanchez37@icloud.com,0,09/25/2025,0
,,,Urban Cowboy - Parent,12824.000112,+18569122729,04/14/2026,0,03/31/2026,,,"0034W00003U49i2QAB,",127088.00011200001,chuck@urbancowboy.com,chuck@urbancowboy.com,0,04/18/2025,4
,,,Vinaigrette Salad Kitchen- Parent,0,,02/24/2026,0,02/24/2026,,false,",",49356,,ben@vinaigrettesaladkitchen.com,0,02/12/2026,0
,,,West Sixth Brewing Company LLC,4774.000056,2703138306,03/05/2026,0,03/21/2026,,false,"0034W00002rfHg8QAE,",117754.000056,jesse@westsixth.com,jesse@westsixth.com,0,10/14/2025,6
,,,Zanies Group Nashville - Parent Account,0,6153084260,03/05/2026,0,11/05/2025,,,",",40980,jennifer.carrigan@comcast.net.invalid,jennifer.carrigan@comcast.net,0,09/17/2025,6
